title,time,link,关键词,二级类别（女性气质）,一级类别（女性形象）,国家（地区）,备注（新想法写这里）,备注（新想法写这里）
Ches 干净清爽粉珊瑚妆容教程，清纯猫眼眼妆满分。,2018/3/14,https://www.bilibili.com/video/BV1LW411p77P/,清纯,清纯,少女,,,
开学上班“伪”素颜 入门级自然妆容分享 适合学生党 时间宝贵的上班族 | 33,2018/3/21,https://www.bilibili.com/video/BV1GW411g7EG/,伪素颜、自然,自然,其他,,,
♡ Ayano 日本人气彩妆 CHICCA 产品 成熟大人感妆容分享 ♡,2018/3/29,https://www.bilibili.com/video/BV1gW411u73V/,成熟、大人感,成熟,姐,日本,,
【馒头搬运】干净的玻璃皮肤妆容,2018/4/2,https://www.bilibili.com/video/BV1VW411T7d9/,玻璃,清纯,少女,,,
【Drasson】春夏日系粉嫩樱桃妆容分享,2018/4/3,https://www.bilibili.com/video/BV1YW411T7LK/,日系、粉嫩,可爱,少女,日本,,
【栗子】跟我一起化妆！边聊边画+冷淡系妆容分享,2018/4/9,https://www.bilibili.com/video/BV1pW411K7WU/,冷淡系,高冷,姐,,,
【老吓】少女系春日樱花妆♥全脸开架超平价妆容分享*♥,2018/4/14,https://www.bilibili.com/video/BV15W411L71f/,少女,少女,少女,,,
【67】|我的日常妆容分享 清淡的夏日约会妆容|平价爱用彩妆分享,2018/4/21,https://www.bilibili.com/video/BV1bW41157SV/,清淡,自然,其他,,,
【HYULARI】光泽通透感妆容+护肤分享,2018/4/24,https://www.bilibili.com/video/BV13W411L7xn/,通透感,清纯,少女,,,
GRWM近期日常妆！水当当的春天清透妆容分享！适合学生党/通勤,2018/4/28,https://www.bilibili.com/video/BV1KW411V7rg/,清透,清纯,少女,,,
欧美版厌世妆容教程 【Alina】,2018/5/9,https://www.bilibili.com/video/BV12p411f7cd/,厌世,叛逆,其他,欧美,,
大佬甜er |毕业照！证件照！都适用的干净清爽妆容～,2018/5/17,https://www.bilibili.com/video/BV12p411Z7NA/,清爽,清纯,少女,,,
【初投稿】日常元气混血感少女妆容分享,2018/5/18,https://www.bilibili.com/video/BV1Zp411Z7kJ/,元气,可爱,少女,,,
【KindaCool】我的“KINDA”醇和柔和风格妆容/穿搭,2018/5/25,https://www.bilibili.com/video/BV1Yp411R7Wd/,醇和柔和,温柔,少女,,,
GRWM | 我的IG歐美小性感妝容分享～閒聊＋化妝｜Jessica Lin,2018/5/26,https://www.bilibili.com/video/BV14p411R7h3/,歐美、小性感,性感,姐,欧美,,
"【Mish】GRWM洛丽塔风格妆容&穿搭 | Nymphet Transformation.2 / make up, hair, outfit",2018/6/1,https://www.bilibili.com/video/BV1XW411P76v/,洛丽塔,纯欲,少女,欧美,,
instagram风清新温柔妆容,2018/6/9,https://www.bilibili.com/video/BV1uW411P7su/,清新温柔,清纯,少女,,,
"【itslikelymakeup】土色系酷女孩 妆容分享 | easy,warm,everyday grunge look makeup tutorial",2018/6/15,https://www.bilibili.com/video/BV1iW411F7T5/,酷,成熟,姐,,,
♡请收下这份少女心♡ 爱心腮红妆容 【Alina】,2018/6/16,https://www.bilibili.com/video/BV1wW411c74a/,少女心,可爱,少女,,,
[一味] ins厌世风 高级感杂志妆容,2018/6/18,https://www.bilibili.com/video/BV1kW411c7XL/,厌世风、高级感,叛逆,其他,,,
内双/单眼皮一眼万年可怜兮兮的初恋妆,2018/6/30,https://www.bilibili.com/video/BV1Ys411575V/,可怜兮兮、初恋妆,清纯,少女,,,
【Soyoon】干净自然妆容,2018/7/1,https://www.bilibili.com/video/BV14s411G7qN/,自然,自然,其他,,,
温柔上镜的日杂妆容分享,2018/7/14,https://www.bilibili.com/video/BV1rs411J7bk/,温柔、日杂,温柔,少女,日本,,
【KIMDAX】干净通透自然感妆容,2018/7/19,https://www.bilibili.com/video/BV1Zs411E7dn/,通透、自然感,清纯,少女,,,
内双肉脸的干净清透妆容分享/一个超简单我平时出门会化的,2018/7/28,https://www.bilibili.com/video/BV1is411A7sX/,清透,清纯,少女,,,
kiak | 干净清透妆容小技巧 | 做个清爽女孩~,2018/7/30,https://www.bilibili.com/video/BV1Cs411c79Z/,清透,清纯,少女,,,
【可甜可盐ins风妆容分享】可甜可盐橘里橘气ins风妆容！ 韩国小姐姐都很爱的,2018/7/30,https://www.bilibili.com/video/BV1Xs411c7ha/,可甜可盐,甜酷,其他,韩国,,
【泰国美妆】氧气美女的雀斑妆容分享 | Bew Varaporn,2018/8/6,https://www.bilibili.com/video/BV1us411g73s/,氧气,清纯,少女,泰国,,
前田希美★用KATE化妆品打造成熟大人风格妆容,2018/8/8,https://www.bilibili.com/video/BV1Qs411g7Hf/,成熟、大人风,成熟,姐,,,
肥曈 | 橘色土色酷女孩妆容 我脾气真的很大,2018/8/11,https://www.bilibili.com/video/BV1Js411u74Y/,酷,成熟,姐,,,
【PONY】诱人粉色妆容,2018/8/18,https://www.bilibili.com/video/BV11W411X7w6/,诱人粉色,纯欲,少女,,,
【echo】GRWM| 女爱豆洋娃娃妆容/就算烂脸也要美美滴化个妆啊！日间护肤&,2018/8/20,https://www.bilibili.com/video/BV1mW41197NZ/,洋娃娃,精致,其他,,,
你是魔鬼吗??? 病娇红色妆容分享,2018/8/23,https://www.bilibili.com/video/BV1GW411X7jF/,病娇,叛逆,其他,,,
【妆容分享】 早秋日杂妆 | 可爱系,2018/8/28,https://www.bilibili.com/video/BV1Ds411F7fP/,可爱,可爱,少女,日本,,
【youjin】在奶奶家的简单化妆教程/超喜欢这种干净自然的,2018/8/29,https://www.bilibili.com/video/BV1Vs411c7Rz/,自然,自然,其他,,,
莫兰迪色系妆容 | 《延禧攻略》妆容风格 | 高级感灰色系妆分享,2018/9/1,https://www.bilibili.com/video/BV19W411f7LQ/,高级感,高贵,姐,中国,,
【JUNGSAEMMOOL】干净清透的气垫粉饼妆容分享|韩系美妆|,2018/9/7,https://www.bilibili.com/video/BV1sW411d7k5/,清透,清纯,少女,韩国,,
可盐可甜的小姐姐妆|| 初秋哑光妆容分享,2018/9/15,https://www.bilibili.com/video/BV1AW411k7Qt/,可盐可甜,甜酷,其他,,,
〖 恰 〗洛杉矶冷酷女孩妆容分享│L.A.Girl,2018/9/16,https://www.bilibili.com/video/BV1gW411k77W/,洛杉矶、冷酷,高冷,姐,欧美,,
轻盈感温柔通勤妆 | 妆容分享,2018/9/21,https://www.bilibili.com/video/BV1HW411r7dy/,温柔,温柔,少女,,,
【RUIBEEE】性感美黑妆容分享,2018/9/27,https://www.bilibili.com/video/BV1ZW411U74k/,性感,性感,姐,,,
【HOLD LIVE官方】初秋日常温柔粉嫩温柔系妆容~干净自然,2018/9/29,https://www.bilibili.com/video/BV1tW411S76E/,温柔、粉嫩、自然,可爱,少女,,,
高中生清纯伪素颜妆 返校日常妆 |超简单入门级妆容分享,2018/10/3,https://www.bilibili.com/video/BV1WW411U73Q/,清纯、伪素颜,清纯,少女,,,
【YOONGREEN】清爽干净红唇妆容,2018/10/3,https://www.bilibili.com/video/BV1XW41117WF/,清爽,清纯,少女,,,
阿黄 | 自然干净清爽妆/雾面妆容/秋季温暖妆容/无滤镜/南方干皮/黑眼圈遮瑕/阿玛尼粉底液/温柔秋季,2018/10/9,https://www.bilibili.com/video/BV1uW41117ot/,清爽、温柔、自然,清纯,少女,,,
【方恰拉】辛芷蕾秋冬同款妆容|适合秋冬的气场妆容,2018/10/9,https://www.bilibili.com/video/BV1fW411y7JZ/,气场、辛芷蕾,自信,姐,中国,,
韩式专业化妆_金泰熙典雅清新干净妆容,2018/10/13,https://www.bilibili.com/video/BV1Hb411F7wd/,金泰熙、典雅、清新,优雅,姐,韩国,,
【鱼干】精致冷感欧美妆|成熟的秋冬风格妆容,2018/10/13,https://www.bilibili.com/video/BV1Gb411F7HY/,冷感、欧美妆、成熟,成熟,姐,欧美,,
日剧清新自然少女妆容分享||学生党日常||日系少女,2018/10/14,https://www.bilibili.com/video/BV15t411Z7Ex/,清新、自然、少女、日系,清纯,少女,日本,,
范范 | 生人勿近！冷酷无情距离感max妆容分享：大概是保持单身的法宝,2018/10/18,https://www.bilibili.com/video/BV1Kt411Z7pZ/,冷酷、无情、距离感,高冷,姐,,,
【棺】Sick rose/病系（被暴揍）眼下腮红妆/梅子色妆容教程/均价一百以下的,2018/10/20,https://www.bilibili.com/video/BV1zt411d7DT/,病系,叛逆,其他,,,
粉嫩日系软妹风格妆容,2018/10/21,https://www.bilibili.com/video/BV1St411o7CU/,粉嫩、日系、软妹,可爱,少女,日本,,
【圆子】要来打针嘛~血的味道很甜哦~~万圣节恐怖病娇护士来啦！,2018/10/25,https://www.bilibili.com/video/BV1Et411d7pz/,病娇,叛逆,其他,,,
全脸平价彩妆？！ 打造冷艳高贵 心机女孩必备妆容,2018/10/26,https://www.bilibili.com/video/BV1yb411P7Gq/,冷艳、高贵,高贵,姐,,,
【Amber-】冬日干净温暖高级感妆容*学生日常,2018/10/27,https://www.bilibili.com/video/BV1Vb411N7KC/,光泽感、通透,清纯,少女,,,
♥日杂清淡浅茶妆容分享♥淡雅的茶系女孩妆容~,2018/10/30,https://www.bilibili.com/video/BV1vb411A76g/,日杂、清淡、淡雅,优雅,姐,日本,,
良潇｜初秋温柔感妆容金咖色眼妆分享｜老阿姨变温柔小姐姐,2018/11/5,https://www.bilibili.com/video/BV1Gb411A7Nb/,温柔,温柔,少女,,,
【娃改】怪物高中改酷酷风格妆容~【搬运 1080p】,2018/11/12,https://www.bilibili.com/video/BV1Xb411c7H2/,酷酷,成熟,姐,,,
【点】日系简单新手妆容分享|日系假毛|换张撩汉脸|日常妆容|非妆教向,2018/11/16,https://www.bilibili.com/video/BV1Vt411m7p8/,撩汉脸、日系,纯欲,少女,日本,,
【青豆】小松菜奈仿妆！厌世妆！三分钟GET厌世颜！,2018/11/21,https://www.bilibili.com/video/BV1Bt411C7Dw/,小松菜奈、厌世,叛逆,其他,日本,,
没有初恋脸也可以拥有的冬季清纯初恋妆 | ins风爱心形状的腮红分享 | 一个十几分钟干货满满的日常妆,2018/12/2,https://www.bilibili.com/video/BV1St411X7sh/,清纯初恋,清纯,少女,,,
【INGHWA】干净自然妆容,2018/12/4,https://www.bilibili.com/video/BV1Pt411Q7iy/,自然,自然,其他,,,
【证件照妆容】日常的清纯学生妆|毕业寸照妆容分享|上镜的清爽|大地色眼妆,2018/12/11,https://www.bilibili.com/video/BV18t411q7KU/,清纯,清纯,少女,,,
【易烫】似仙似妖的佟丽娅灵感妆容，这个倒挑眉赶快get一下～,2018/12/19,https://www.bilibili.com/video/BV14t411v7Gt/,妖、佟丽娅,性感,姐,中国,,
【方方|妆容】提升温柔感的粉色烟熏玫瑰妆,2018/12/21,https://www.bilibili.com/video/BV14t411Y7PE/,温柔,温柔,少女,,,
【百分】做这条街最甜的崽！甜娘lolita妆容分享,2018/12/23,https://www.bilibili.com/video/BV1Vt411k7YW/,甜,可爱,少女,,,
【永野芽郁仿妆】少女素颜感的秘诀！给妆容做减法,2019/1/11,https://www.bilibili.com/video/BV1Ft411W7Sv/,永野芽郁、少女素颜感,清纯,少女,日本,,
一个干净清新的妆容有哪些必备基础？今天给大家推荐几款好物,2019/1/14,https://www.bilibili.com/video/BV1xt411H7bz/,清新,清纯,少女,,,
酷酷的风格!秋冬哑光妆容,2019/1/17,https://www.bilibili.com/video/BV16t411h77K/,酷酷,成熟,姐,,,
【小缘崽】什么场合都适合(•͈˽•͈)甜甜的韩系妆容分享,2019/1/22,https://www.bilibili.com/video/BV15t411h76Z/,甜甜、韩系,可爱,少女,韩国,,
如何调整上妆手法改变妆容风格|肿泡眼红色眼影的2种画法|可盐可甜,2019/1/27,https://www.bilibili.com/video/BV1Tt411t77c/,可盐可甜,甜酷,其他,,,
【B站第一黑】黑皮酷哥的日常妆容|贾玲版辛芷蕾求铁汁们进来瞧一瞧看一看!,2019/2/11,https://www.bilibili.com/video/BV11b411S7ig/,酷,成熟,姐,,,
【十安】新手必看！情人节约会妆容 | 清纯伪素颜重返十八岁的校园初恋妆 | 手把手教你打造少女感自然妆面,2019/2/12,https://www.bilibili.com/video/BV1eb411m7ja/,清纯、伪素颜、初恋,清纯,少女,,,
情人节单身姐妹自信逛街の黑莲花妆容分享,2019/2/14,https://www.bilibili.com/video/BV1hb411U741/,黑莲花,成熟,姐,,,
【青豆】看过都说像的春夏仿妆|蓬松慵懒卷发|盐系妆容,2019/2/22,https://www.bilibili.com/video/BV1Jb411h7iC/,盐系,高冷,姐,中国,,
无花果色系妆容>>>超简单的清纯开学妆 | Jansu,2019/2/24,https://www.bilibili.com/video/BV1ub411879y/,清纯,清纯,少女,,,
【陈奶酪】日常妆容分享｜水光感温柔妆｜纯白系｜新手向,2019/2/26,https://www.bilibili.com/video/BV1Fb411h7t4/,水光感、温柔,温柔,少女,,,
肥曈 | 写真必备 招男人元气桃花妆分享,2019/2/28,https://www.bilibili.com/video/BV1fb411t7Hd/,元气,可爱,少女,,,
【韩国美妆】女中生的真实清纯证件照妆容分享♡YoonJae,2019/3/1,https://www.bilibili.com/video/BV1xb411b7V6/,清纯,清纯,少女,韩国,,
【Coco Riley】干净素颜感妆容,2019/3/4,https://www.bilibili.com/video/BV1Nb411z7hX/,素颜感,自然,其他,,,
【Jessica Vu】以60年代复古风为灵感的日常洋娃娃感妆容分享,2019/3/8,https://www.bilibili.com/video/BV1Lb411v7P9/,洋娃娃,精致,其他,,,
韩系小清新干净妆容必备！百元以内的平价美瞳种草！,2019/3/14,https://www.bilibili.com/video/BV1Lb411H7zG/,韩系、小清新,清纯,少女,韩国,,
「Gabby」初春桃子系妆容/雪莉风格妆容/一起来做水蜜桃女孩,2019/3/15,https://www.bilibili.com/video/BV16b411H7dN/,雪莉、水蜜桃,纯欲,少女,韩国,,
【换头术】超帅气场爆棚的厌世&宿醉感酷girl妆容分享,2019/3/20,https://www.bilibili.com/video/BV1ab411E7b4/,超帅、气场爆棚、厌世、宿醉感、酷,叛逆,其他,,,
GRWM 开始改变日常妆容风格的日常蜜桃妆 想要每天的少女感都爆棚,2019/3/23,https://www.bilibili.com/video/BV1ob41177Lj/,蜜桃、少女感,可爱,少女,,,
少女桃花妆|春季约会妆容分享|变身粉嫩少女,2019/3/23,https://www.bilibili.com/video/BV1ib411779T/,粉嫩、少女,可爱,少女,,,
【十安】亚洲脸也能轻松get的大气感妆容 | 改变小气五官 做MVP女孩,2019/3/28,https://www.bilibili.com/video/BV18b411x7Pi/,大气感,大气,姐,,,
光泽感护肤&琉璃镜面妆容分享 | Glossy Skincare & Glass Makeup,2019/3/29,https://www.bilibili.com/video/BV1Xb411x739/,光泽感、琉璃镜面,清纯,少女,,,
很清新很干净的妆容! 日常生活常画的一个简单的妆 喜欢的宝宝,2019/3/31,https://www.bilibili.com/video/BV1xb411s7A7/,清新,清纯,少女,,,
缺牙女孩画甜妆 | 两个春夏妆容 | 甜橙果汁妆&草莓软糖妆,2019/4/6,https://www.bilibili.com/video/BV1Ub411M7C4/,甜,可爱,少女,,,
•BB• 妆容分享 | 裸雾battle妆 | 可甜可rap可拽可美可酷❓,2019/4/6,https://www.bilibili.com/video/BV1Qb411M7qd/,可甜可rap可拽可美可酷,甜酷,其他,,,
日常温柔版 || 轻欧美妆容分享 || 亚洲女孩轻松驾驭,2019/4/7,https://www.bilibili.com/video/BV1Nb411u7SS/,温柔,温柔,少女,欧美,,
良潇｜高级大气感杂志妆容｜干净底妆怎么化,2019/4/10,https://www.bilibili.com/video/BV1Nb411M7Er/,大气感,大气,姐,,,
【春夏日常绿油油妆容】打造清透少女感丨新手化妆刷技巧用法,2019/4/12,https://www.bilibili.com/video/BV1Eb411K7Xt/,清透、少女感,清纯,少女,,,
【爱普罗西】EVIL QUEEN暗黑系妆容分享！能当后妈的话就没灰姑娘什么事儿了,2019/4/12,https://www.bilibili.com/video/BV15b411K7We/,暗黑系, 叛逆,其他,,,
大果子丨春日清新伪素颜妆分享！超简单新手长手就会画的小心机！,2019/4/15,https://www.bilibili.com/video/BV15b411j72G/,清新、伪素颜妆,清纯,少女,,,
超日常的清透水光肌妆容分享～一起来画个清新自然光泽感妆容吧！,2019/4/16,https://www.bilibili.com/video/BV1tb411j7n1/,清透、清新、自然,清纯,少女,,,
"亲妈保姆级! 化妆5年的39个技巧,干净清爽橘色日常妆-甜甜Ananas",2019/4/18,https://www.bilibili.com/video/BV1Cb41157M9/,清爽,清纯,少女,,,
闷骚的性冷淡气质妆 | 妆容分享,2019/4/19,https://www.bilibili.com/video/BV1sb411L7yu/,性冷淡,高冷,姐,,,
酷女孩干净利落的妆容,2019/4/24,https://www.bilibili.com/video/BV14b411G7bd/,酷,成熟,姐,,,
新手向 一个黑皮也可以驾驭的清纯日常妆容【Alina】,2019/4/26,https://www.bilibili.com/video/BV1M4411h7FB/,清纯,清纯,少女,,,
完美日记9色眼影盘-白桃妆容分享|边化妆边唠嗑|平价彩妆|眼妆分享|粉嫩|春夏妆~,2019/4/28,https://www.bilibili.com/video/BV1p4411b7Dh/,粉嫩,可爱,少女,,,
【Kim】HUDA BEAUTY沙漠盘两种风格妆容教学 | 可攻可甜 | 今天是粉嫩系Kim,2019/4/29,https://www.bilibili.com/video/BV15441187ji/,粉嫩,可爱,少女,,,
【Matilda】【化妆包系列】Emma Waston的化妆包里有什么 | 打造英伦玫瑰清新的,2019/4/30,https://www.bilibili.com/video/BV1o4411477b/,清新、英伦,清纯,少女,欧美,,
【RITA】厌世感沙漠玫瑰红唇妆|全脸平价彩妆打造高级感妆容,2019/5/4,https://www.bilibili.com/video/BV1o4411v7cM/,厌世感,叛逆,其他,,,
清爽干净的学生日常妆容,2019/5/4,https://www.bilibili.com/video/BV1M4411i7Ze/,清爽,清纯,少女,,,
•BB• 妆容分享 | 氧气光感妆容 （其实是母气十足妆,2019/5/8,https://www.bilibili.com/video/BV184411v7PY/,氧气,清纯,少女,,,
【多肉】的日常妆容分享|低调精致元气女孩妆容|边聊天边化妆,2019/5/10,https://www.bilibili.com/video/BV1Y4411Y7L2/,元气,可爱,少女,,,
【十安】又纯又媚的港风妆容 | 陈都灵参考灵感妆容 | 告别「跟风街妆」打造质感,2019/5/11,https://www.bilibili.com/video/BV1K4411e7sw/,又纯又媚、港风,纯欲,少女,香港,,
【鱼目八怪】初投稿 | 粉嫩桃花约会妆 | 春夏妆 | chic减龄少女妆 | 伪素颜日常,2019/5/12,https://www.bilibili.com/video/BV1k4411h7ui/,粉嫩,可爱,少女,,,
「涂涂」又纯又欲妆容 淡妆温柔风！新手易上手,2019/5/15,https://www.bilibili.com/video/BV1t4411a7uX/,又纯又欲、淡妆温柔,纯欲,少女,,,
【脱脂】日常妆容分享 | 夏日清透底妆,2019/5/15,https://www.bilibili.com/video/BV1A4411J7TY/,清透,清纯,少女,,,
【韩国美妆】清爽干净的红唇妆容一起准备叭GRWM♡Urishop,2019/5/16,https://www.bilibili.com/video/BV1r4411J7oi/,清爽,清纯,少女,韩国,,
「维姨酱」新手友好向轻欧美复古红唇妆 适合亚洲人的高级感欧美妆教程,2019/5/19,https://www.bilibili.com/video/BV1w4411j7LM/,高级感、欧美,高贵,姐,欧美,,
干净清爽的夏日妆容#塑普博主的近期爱用平价好物分享！呕心沥血！诚意满满！,2019/5/20,https://www.bilibili.com/video/BV1C4411j73t/,清爽,清纯,少女,,,
【uni】520和你约会的超A妆容分享丨御＋酷 铁汉柔情,2019/5/20,https://www.bilibili.com/video/BV1o4411L7TF/,超A、御、酷,中性,其他,,,
【你的小陆】清爽干净夏日妆容分享|无眼线版|,2019/5/22,https://www.bilibili.com/video/BV1g441177Pj/,清爽,清纯,少女,,,
【苏婆】夏日甜橙复古红妆容丨全脸哑光妆感丨又纯又欲的高级,2019/5/26,https://www.bilibili.com/video/BV1d4411s7d2/,又纯又欲,纯欲,少女,,,
Soyoon|英字GRWM拍摄人生证件照|显得皮肤干净清透妆容+VLOG,2019/5/30,https://www.bilibili.com/video/BV1p4411H7AM/,清透,清纯,少女,,,
【鼬の初投稿】硬核JK的六一炸街妆容 | 风格教程向 | 纯萌,2019/6/1,https://www.bilibili.com/video/BV1P4411n7Ry/,纯萌,可爱,少女,,,
挖坑：自然风格的妆容也很适合夏日出游呀,2019/6/4,https://www.bilibili.com/video/BV1V4411H7iW/,自然,自然,其他,,,
夏日热浪甜心音乐节晒伤妆容分享 l cut crease哈密瓜眼妆,2019/6/7,https://www.bilibili.com/video/BV1D4411M7EA/,甜心,可爱,少女,,,
日系女孩 |乌龙蜜茶清透妆容分享,2019/6/12,https://www.bilibili.com/video/BV154411P7ww/,清透,清纯,少女,日本,,
GLOWY MAKEUP | 瑕疵皮也能化的湿漉漉高级感妆容 | 自然清透水光感,2019/6/13,https://www.bilibili.com/video/BV1v4411P7tS/,湿漉漉、高级感、自然清透,清纯,少女,,,
【素人改造】肿内双短下巴圆鼻头小圆脸怎么化妆|夏日可爱雀斑妆轻松变成人间太妃糖|杏棕色焦糖感氛围,2019/6/13,https://www.bilibili.com/video/BV1n4411P7Hd/,可爱,可爱,少女,,,
夏日复古甜心蜜糖女孩妆容分享,2019/6/14,https://www.bilibili.com/video/BV1K4411N7bj/,甜心蜜糖,可爱,少女,,,
夏季清新粉色系 ”初恋脸” 妆容！肿单也可以轻松分驾驭的粉色眼影！,2019/6/15,https://www.bilibili.com/video/BV1H4411K7RN/,清新、初恋脸,清纯,少女,,,
夏日杏子粉团妆容 |自带粉嫩滤镜 nun nun nun,2019/6/15,https://www.bilibili.com/video/BV1W4411V756/,粉嫩,可爱,少女,,,
夏日清爽伪素颜妆容分享！！干净明媚的眼妆分享！！让眼睛变美的小技巧！！,2019/6/16,https://www.bilibili.com/video/BV1N4411575n/,伪素颜,自然,其他,,,
日常中性妆容分享,2019/6/21,https://www.bilibili.com/video/BV1V441137G4/,中性,中性,其他,,,
【蔡蔡】元气鬼马精灵水润草莓果汁妆容教程分享/夏日甜心汽水妆容/完美日记小猪盘教程/日常/可爱兔子感,2019/6/23,https://www.bilibili.com/video/BV1M4411g7RK/,元气鬼马精灵,可爱,少女,,,
单眼皮妆容分享 | 如何做一枚夏季水蜜桃女孩,2019/6/30,https://www.bilibili.com/video/BV1Rx41197rd/,水蜜桃,可爱,少女,,,
港妆日常妆容/黑黄皮/画出元气感且干净的感觉,2019/7/5,https://www.bilibili.com/video/BV1V4411c7CD/,元气感,可爱,少女,香港,,
杀马特妆容教学,2019/7/12,https://www.bilibili.com/video/BV16t41157SZ/,杀马特,叛逆,其他,,,
妆容分享♡夏日清透花花妆容,2019/7/15,https://www.bilibili.com/video/BV1St41137Km/,清透,清纯,少女,,,
绽放的花蕊 清透干净的妆容 仙气十足,2019/7/16,https://www.bilibili.com/video/BV1et411G7bC/,清透,清纯,少女,,,
【易烫】夏日气质仙女妆 刘亦菲灵感妆容~,2019/7/23,https://www.bilibili.com/video/BV1vt41177Yi/,气质仙女妆、刘亦菲,清纯,少女,中国,,
紫芋乌龙 | 透明高级感妆容分享,2019/7/24,https://www.bilibili.com/video/BV1nt411E7Yt/,高级感,高贵,姐,,,
可以化出门的日常版微醺宿醉妆 | 妆容分享,2019/7/26,https://www.bilibili.com/video/BV1Xt411j7rV/,微醺宿醉,纯欲,少女,,,
素人改造/晚晚风/痘肌黄皮的元气温婉番茄红唇妆容/穿衣化妆技巧｜Piggy’s MakeUp,2019/7/29,https://www.bilibili.com/video/BV18t411A7Ft/,元气温婉、晚晚,温柔,少女,中国,,
【约会必备妆容】甜!就完事了｜放大眼睛小技巧｜新手.手残党也能化的日常约会｜内双单眼皮七夕约会｜内双单眼皮日常｜内双单眼皮眼妆,2019/8/5,https://www.bilibili.com/video/BV1bt411M73c/,甜,可爱,少女,,,
〖 恰 〗厌世感甜心妆容 干枯玫瑰色系,2019/8/6,https://www.bilibili.com/video/BV1qt411K7V4/,厌世感,叛逆,其他,,,
薄荷拿铁 | 微丧夏日妆容分享,2019/8/15,https://www.bilibili.com/video/BV1M4411U7j6/,微丧,叛逆,其他,,,
【水星】呐~你是我的哦|病娇感妆容分享|宿醉腮红,2019/8/18,https://www.bilibili.com/video/BV1w4411o7aF/,病娇感,叛逆,其他,,,
•BB• 妆容分享 | 玫瑰粉檀珍珠妆 | 玫瑰感/粉调温柔/细腻透闪,2019/8/27,https://www.bilibili.com/video/BV1D4411B7zW/,温柔,温柔,少女,,,
「单宝造型」古典的红与金结合～传递东方的独特韵味~精致有序的发髻～大气的质感～细节之处无不展现中式秀禾服的温婉典雅~,2019/8/29,https://www.bilibili.com/video/BV1E4411q75U/,大气,大气,姐,中国,,
收起沙雕好好化妆 || 温油女孩就是你 || 初秋上镜妆容分享,2019/8/29,https://www.bilibili.com/video/BV1n4411q77F/,温油,温柔,少女,,,
厌世感雀斑妆容 | 对于「厌世」的要素分析AD,2019/8/30,https://www.bilibili.com/video/BV1H4411B7Yp/,厌世,叛逆,其他,,,
小松菜奈仿妆 初秋日系厌世妆分享,2019/8/31,https://www.bilibili.com/video/BV16441127NZ/,厌世,叛逆,其他,日本,,
开学必看！人手必备伪素颜妆容！【大西米君】,2019/9/6,https://www.bilibili.com/video/BV1S4411y7Yx/,伪素颜,自然,其他,,,
初秋的玫瑰果酱妆容分享/开学超减龄新手妆/完美日记小酒管试色分享,2019/9/7,https://www.bilibili.com/video/BV1c4411C7pR/,超减龄,少女,少女,,,
#单宝造型# 干净清爽的妆容～凌乱有层次感的刘海～浑然天成的少女叛逆感和不羁～完美诠释什么是beauty girl,2019/9/9,https://www.bilibili.com/video/BV1WJ411N7vy/,少女叛逆感和不羁,甜酷,其他,,,
